lastUpdated,code,level,created,name,id,offlineLevels,code,lastUpdated,id,level,created,name,shortName,description,contactPerson,path,openingDate,email,address,url,phoneNumber,closedDate,geometry,comment,code,created,lastUpdated,name,id,shortName,symbol,color,geometry
2023-12-29T13:28:15.141,,,,,,,,,,5,2023-12-29T13:28:15.120,Agahabwa,Agahabwa,,,"/NLsvt0iBEyq/d3sGVyQqwe5/gfLUf85yY51/QyuZnJE2zSz/Ig2GfcLfRpo",2023-01-01T00:00:00.000,,,,,,,,,,,,Ig2GfcLfRpo,,,,
2023-12-29T13:17:55.881,,,,,,,,,,6,2023-12-29T13:17:55.862,Agahama,Agahama,,,"/NLsvt0iBEyq/I7LUEXlue90/zeO6GcBuYRF/EyiA3pJNGlu/VFxh2WdhtrI/vkcnd9g98DZ",2023-01-01T00:00:00.000,,,,,,,,,,,,vkcnd9g98DZ,,,,
2023-12-29T13:28:15.738,,,,,,,,,,6,2023-12-29T13:28:15.715,Agahehe,Agahehe,,,"/NLsvt0iBEyq/d3sGVyQqwe5/gfLUf85yY51/QyuZnJE2zSz/Ig2GfcLfRpo/bJGkuJIl8gn",2023-01-01T00:00:00.000,,,,,,,,,,,,bJGkuJIl8gn,,,,
2023-12-29T13:34:35.746,,,,,,,,,,6,2023-12-29T13:34:35.709,Agahenerezo,Agahenerezo,,,"/NLsvt0iBEyq/d3sGVyQqwe5/CdGmPmTT2JI/TTyWvOuPH4z/b1SF9Z1oupq/QeZgvsdoQpe",2023-01-01T00:00:00.000,,,,,,,,,,,,QeZgvsdoQpe,,,,
2023-12-29T14:45:19.086,,,,,,,,,,6,2023-12-29T14:45:19.030,Agahiza,Agahiza,,,"/NLsvt0iBEyq/qtB5YKGpetQ/opnk6RKjDVK/PKXr3h5rKej/BVDiPCIM1Gw/bBI7ff7cQvc",2023-01-01T00:00:00.000,,,,,,,,,,,,bBI7ff7cQvc,,,,
2023-12-29T14:58:10.052,,,,,,,,,,6,2023-12-29T14:58:09.958,Agahonnyo,Agahonnyo,,,"/NLsvt0iBEyq/qtB5YKGpetQ/tiOxwPjTxGh/DaLjl77L0x4/cqpABwRb0hO/SVo0VyNSFMR",2023-01-01T00:00:00.000,,,,,,,,,,,,SVo0VyNSFMR,,,,
2023-12-29T13:38:01.802,,,,,,,,,,6,2023-12-29T13:38:01.763,Agahora,Agahora,,,"/NLsvt0iBEyq/d3sGVyQqwe5/CdGmPmTT2JI/pr5VMbh7s9V/ipq3FiHQpX9/u2eFlVf8FUW",2023-01-01T00:00:00.000,,,,,,,,,,,,u2eFlVf8FUW,,,,
2023-12-29T13:28:03.671,,,,,,,,,,6,2023-12-29T13:28:03.646,Agahumiro,Agahumiro,,,"/NLsvt0iBEyq/d3sGVyQqwe5/gfLUf85yY51/maNDqZ17yOj/XqqBdqXf1aJ/QRjEIKzyD6y",2023-01-01T00:00:00.000,,,,,,,,,,,,QRjEIKzyD6y,,,,
2023-12-29T13:29:24.241,,,,,,,,,,6,2023-12-29T13:29:24.221,Agakanka,Agakanka,,,"/NLsvt0iBEyq/d3sGVyQqwe5/gfLUf85yY51/jbhYYVRUg9p/w0Oovrxccdm/SqR7OJ2Tazt",2023-01-01T00:00:00.000,,,,,,,,,,,,SqR7OJ2Tazt,,,,
2023-12-29T14:31:28.011,,,,,,,,,,6,2023-12-29T14:31:27.948,Agakari,Agakari,,,"/NLsvt0iBEyq/qtB5YKGpetQ/FYWwHHg36JQ/GcvModJhJue/Tz7wPY0vFXo/wXyxHXxeNsr",2023-01-01T00:00:00.000,,,,,,,,,,,,wXyxHXxeNsr,,,,
2023-12-29T13:17:47.107,,,,,,,,,,6,2023-12-29T13:17:47.088,Agakenke,Agakenke,,,"/NLsvt0iBEyq/I7LUEXlue90/zeO6GcBuYRF/EyiA3pJNGlu/VguieGWslLp/HogTQkC7Snl",2023-01-01T00:00:00.000,,,,,,,,,,,,HogTQkC7Snl,,,,
2023-12-29T14:39:28.166,,,,,,,,,,6,2023-12-29T14:39:28.120,Agakenyeri,Agakenyeri,,,"/NLsvt0iBEyq/qtB5YKGpetQ/eyq3Niz72Ls/mH1gi2lqrQx/ei6HQ6eg7Qm/QCLFxtenad2",2023-01-01T00:00:00.000,,,,,,,,,,,,QCLFxtenad2,,,,
